npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
2019,Frost Giant,NPC39.png,NPC39,YXS0,2,1,10,100110001,0,9450,480,520,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0
2020,Witch Elf,NPC18.png,NPC18,LB_UR_SH,2,2,10,111702001,0,9900,720,800,8,8,8,8,2000,10,10,10,0,0,0,0,0,0,0,3000,0,0,0
2021,Blue Dragon King,NPC48.png,NPC48,WL_SP,2,3,11,112901001,0,10771,622,694,8,9,9,8,2000,10,11,11,0,0,0,0,0,0,0,3000,0,0,0
2022,Maid of Demonlord,2019.png,NMXS0,YXNM1,2,1,11,110502001,0,11750,672,755,9,11,11,10,2000,10,13,13,0,0,0,0,0,0,0,3000,0,0,0
2023,Glory Angel,NPC51.png,NPC51,YD0,2,2,12,100302001,0,12751,727,820,10,12,12,12,2000,10,15,15,0,0,0,0,0,0,0,3000,0,0,0
2024,Little Devil,NPC19.png,NPC19,ZRNZ_YS1,2,3,12,100203001,0,13891,786,891,11,15,15,13,2000,10,17,17,0,0,0,0,0,0,0,3000,0,0,0
2025,Gabriel,2003.png,LXF0,CE0,2,1,13,100305001,0,15131,1063,1210,12,17,17,16,2000,10,20,20,0,0,0,0,0,0,0,3000,0,0,0
2026,Argus,2022.png,BLDD0,USER_MAIN_WSJ3,2,2,13,100304001,0,16442,919,1052,12,20,20,18,2000,10,23,23,0,0,0,0,0,0,0,3000,0,0,0
2027,Erebus,2031.png,ERBS0,HFSTS0,2,3,14,112602001,0,17892,994,1142,13,24,24,21,2000,10,27,27,0,0,0,0,0,0,0,3000,0,0,0
2028,Faceless banshee,NPC20.png,NPC20,R_UR_PLUS_SH,2,1,14,113201001,0,19455,1075,1241,15,29,29,25,2000,10,32,32,0,0,0,0,0,0,0,3000,0,0,0
2029,Earthly Giant,NPC22.png,NPC22,WN0,2,2,15,100303001,0,21203,1162,1348,16,35,35,29,2000,10,37,37,0,0,0,0,0,0,0,3000,0,0,0
2030,Warden of Souls,2035.png,AD0,USER_HF,2,3,15,100203001,0,23064,1572,1832,18,42,42,34,2000,10,43,43,0,0,0,0,0,0,0,3000,0,0,0
2031,Bear Lady,2007.png,XN0,USER_GEJ_SH,2,1,16,110502001,0,25060,1360,1592,20,51,51,40,2000,10,50,50,0,0,0,0,0,0,0,3000,0,0,0
2032,Fire sacrifice,NPC31.png,NPC31,BMH_HS_SH,2,2,16,100301001,0,27276,1470,1729,22,61,61,47,2000,10,59,59,0,0,0,0,0,0,0,3000,0,0,0
2033,Black Dragon,NPC46.png,NPC46,MJL0,2,3,17,112002001,0,29689,1590,1879,24,74,74,55,2000,10,69,69,0,0,0,0,0,0,0,3000,0,0,0
2034,Ink Lady,2046.png,YXNM0,HFSTS0,2,1,17,100302001,0,32339,1719,2041,27,89,89,64,2000,10,81,81,0,0,0,0,0,0,0,3000,0,0,0
2035,Fox Fairy,NPC31.png,NPC31,YXS0,2,2,18,100101001,0,35165,2324,2773,30,108,108,76,2000,10,96,96,0,0,0,0,0,0,0,3000,0,0,0
2036,Peacock banshee,NPC22.png,NPC22,LB_UR_SH,2,3,18,100202001,0,38257,2011,2410,33,130,130,90,2000,10,113,113,0,0,0,0,0,0,0,3000,0,0,0
2037,Horse Face,NPC37.png,NPC37,WL_SP,2,1,19,100101001,0,41613,2175,2619,37,157,157,106,2000,10,133,133,0,0,0,0,0,0,0,3000,0,0,0
2038,Hell Maid,2015.png,YD0,YXNM1,2,2,19,100201001,0,45278,2352,2846,41,190,190,125,2000,10,157,157,0,0,0,0,0,0,0,3000,0,0,0
2039,Venomous King,NPC25.png,NPC25,YD0,2,3,20,112801001,0,49260,2544,3092,46,229,229,148,2000,10,186,186,0,0,0,0,0,0,0,3000,0,0,0
2040,Tree Essence,NPC23.png,NPC23,ZRNZ_YS1,2,1,20,112702001,0,53669,3456,4224,80,354,354,240,2000,20,300,300,0,0,0,0,0,0,0,3000,0,0,0
2041,Shadow Sage,NPC44.png,NPC44,CE0,2,2,21,112602001,0,55854,2911,3558,84,368,368,252,2089,20,325,325,0,0,0,0,0,0,0,3000,0,0,0
2042,Isis,2021.png,YXS0,USER_MAIN_WSJ3,2,3,21,100106001,0,58234,3065,3747,88,383,383,266,2182,20,352,352,0,0,0,0,0,0,0,3000,0,0,0
2043,Idun,2015.png,YD0,HFSTS0,2,1,22,113301001,0,60620,3228,3945,92,398,398,280,2279,20,381,381,0,0,0,0,0,0,0,3000,0,0,0
2044,Witch,NPC24.png,NPC24,R_UR_PLUS_SH,2,2,22,110702001,0,63218,3398,4154,97,414,414,296,2380,20,412,412,0,0,0,0,0,0,0,3000,0,0,0
2045,Belldandy,2022.png,BLDD1,WN0,2,3,23,112002001,0,65790,4473,5468,102,431,431,312,2486,20,446,446,0,0,0,0,0,0,0,3000,0,0,0
2046,Queen of Centaur,2023.png,XF0,USER_HF,2,1,23,112901001,0,68591,3768,4606,108,448,448,329,2597,20,483,483,0,0,0,0,0,0,0,3000,0,0,0
2047,Sif,2023.png,XF0,USER_GEJ_SH,2,2,24,112002001,0,71439,3968,4850,113,467,467,348,2713,20,523,523,0,0,0,0,0,0,0,3000,0,0,0
2048,Snake Demon,NPC24.png,NPC24,BMH_HS_SH,2,3,24,111702001,0,74434,4177,5107,120,485,485,367,2834,20,566,566,0,0,0,0,0,0,0,3000,0,0,0
2049,Odin,2035.png,AD0,MJL0,2,1,25,112201001,0,77546,4399,5378,126,504,504,387,2960,20,613,613,0,0,0,0,0,0,0,3000,0,0,0
2050,Dark Dragon,NPC28.png,NPC28,HFSTS0,2,2,25,110301001,0,80828,5790,7079,132,524,524,408,3092,20,664,664,0,0,0,0,0,0,0,3000,0,0,0
2051,Shadow Demon,NPC52.png,NPC52,YXS0,2,3,26,100110001,0,84148,4877,5963,140,545,545,431,3230,20,719,719,0,0,0,0,0,0,0,3000,0,0,0
2052,Shadow Lady,NPC26.png,NPC26,LB_UR_SH,2,1,26,100203001,0,87712,5136,6279,147,568,568,455,3374,20,779,779,0,0,0,0,0,0,0,3000,0,0,0
2053,Criminal God,NPC46.png,NPC46,WL_SP,2,2,27,112901001,0,91339,5408,6612,155,591,591,480,3524,20,844,844,0,0,0,0,0,0,0,3000,0,0,0
2054,Clone of Nuit,2011.png,NT0,YXNM1,2,3,27,100307001,0,95236,5695,6963,163,615,615,507,3681,20,914,914,0,0,0,0,0,0,0,3000,0,0,0
2055,Eagle Head,NPC34.png,NPC34,YD0,2,1,28,111702001,0,99127,7496,9165,172,640,640,535,3845,20,990,990,0,0,0,0,0,0,0,3000,0,0,0
2056,Naga Banshee,NPC27.png,NPC27,ZRNZ_YS1,2,2,28,113201001,0,103358,6315,7720,181,665,665,564,4017,20,1072,1072,0,0,0,0,0,0,0,3000,0,0,0
2057,Mikael,2020.png,MS0,CE0,2,3,29,112202001,0,107613,6649,8130,191,692,692,596,4196,20,1161,1161,0,0,0,0,0,0,0,3000,0,0,0
2058,Lucifer,2024.png,LLS2,USER_MAIN_WSJ3,2,1,29,100302001,0,112193,7002,8561,201,720,720,629,4383,20,1258,1258,0,0,0,0,0,0,0,3000,0,0,0
2059,Beihai Demon,NPC30.png,NPC30,HFSTS0,2,2,29,100110001,0,116922,7373,9015,212,750,750,664,4579,20,1363,1363,0,0,0,0,0,0,0,3000,0,0,0
2060,Pandora,2013.png,PDL0,R_UR_PLUS_SH,2,3,30,111801001,0,121758,9720,11880,240,792,792,720,4800,30,1500,1500,0,0,0,0,0,0,0,3000,0,0,0
2061,Gabriel,2003.png,LXF0,WN0,2,1,31,112602001,0,134880,7891,9644,244,801,801,734,4883,30,1532,1532,0,0,0,0,0,0,0,3000,0,0,0
2062,Argus,2022.png,BLDD0,USER_HF,2,2,31,100106001,0,135975,8008,9788,249,810,810,748,4968,30,1564,1564,0,0,0,0,0,0,0,3000,0,0,0
2063,Shadow Servant,2017.png,LFE0,USER_GEJ_SH,2,3,31,113301001,0,137083,8128,9934,254,819,819,764,5054,30,1597,1597,0,0,0,0,0,0,0,3000,0,0,0
2064,Apep,2029.png,APP1,BMH_HS_SH,2,1,31,110702001,0,138162,8248,10082,259,828,828,779,5142,30,1631,1631,0,0,0,0,0,0,0,3000,0,0,0
2065,Shadow Demon,NPC52.png,NPC52,MJL0,2,2,32,112002001,0,139168,10464,12790,264,836,836,795,5231,30,1665,1665,0,0,0,0,0,0,0,3000,0,0,0
2066,Shadow Lady,NPC26.png,NPC26,HFSTS0,2,3,32,112901001,0,140283,8496,10384,268,845,845,811,5322,30,1700,1700,0,0,0,0,0,0,0,3000,0,0,0
2067,Anubis,2034.png,ANBS0,YXS0,2,1,32,112002001,0,141416,8622,10538,273,854,854,827,5415,30,1736,1736,0,0,0,0,0,0,0,3000,0,0,0
2068,Pharaoh Soul,NPC29.png,NPC29,LB_UR_SH,2,2,32,111702001,0,142569,8750,10695,279,864,864,844,5509,30,1773,1773,0,0,0,0,0,0,0,3000,0,0,0
2069,Eagle Head,NPC34.png,NPC34,WL_SP,2,3,33,112201001,0,143553,8880,10854,284,873,873,860,5605,30,1810,1810,0,0,0,0,0,0,0,3000,0,0,0
2070,Sphinx,2036.png,FTSS0,YXNM1,2,1,33,110301001,0,144693,11265,13770,290,883,883,878,5702,30,1848,1848,0,0,0,0,0,0,0,3000,0,0,0
2071,Belldandy,2022.png,BLDD1,YD0,2,2,33,100110001,0,145902,9145,11180,296,892,892,896,5801,30,1887,1887,0,0,0,0,0,0,0,3000,0,0,0
2072,Anubis,2034.png,ANBS0,ZRNZ_YS1,2,3,33,100203001,0,147036,9282,11346,301,902,902,914,5902,30,1927,1927,0,0,0,0,0,0,0,3000,0,0,0
2073,Venomous King,NPC25.png,NPC25,CE0,2,1,34,112901001,0,148092,9420,11515,307,912,912,932,6005,30,1968,1968,0,0,0,0,0,0,0,3000,0,0,0
2074,Tree Essence,NPC23.png,NPC23,USER_MAIN_WSJ3,2,2,34,100307001,0,149311,9560,11686,312,921,921,952,6109,30,2010,2010,0,0,0,0,0,0,0,3000,0,0,0
2075,Fire sacrifice,NPC31.png,NPC31,HFSTS0,2,3,34,111702001,0,150502,12128,14826,319,931,931,971,6215,30,2053,2053,0,0,0,0,0,0,0,3000,0,0,0
2076,Yan,NPC30.png,NPC30,R_UR_PLUS_SH,2,1,34,113201001,0,151711,9847,12037,325,941,941,991,6323,30,2096,2096,0,0,0,0,0,0,0,3000,0,0,0
2077,Idun,2015.png,YD0,WN0,2,2,35,112202001,0,152800,9993,12216,332,952,952,1011,6433,30,2140,2140,0,0,0,0,0,0,0,3000,0,0,0
2078,Witch,NPC24.png,NPC24,USER_HF,2,3,35,100302001,0,154000,10142,12398,338,962,962,1032,6545,30,2185,2185,0,0,0,0,0,0,0,3000,0,0,0
2079,Witch Elf,NPC18.png,NPC18,USER_GEJ_SH,2,1,35,100110001,0,155269,10293,12582,344,972,972,1052,6659,30,2231,2231,0,0,0,0,0,0,0,3000,0,0,0
2080,Naga Banshee,NPC27.png,NPC27,BMH_HS_SH,2,2,35,111801001,0,156511,13058,15963,351,983,983,1074,6775,30,2278,2278,0,0,0,0,0,0,0,3000,0,0,0
2081,Gabriel,2003.png,LXF0,MJL0,2,3,36,112602001,0,157635,10601,12960,358,993,993,1096,6893,30,2326,2326,0,0,0,0,0,0,0,3000,0,0,0
2082,Clone of Nuit,2011.png,NT0,HFSTS0,2,1,36,100106001,0,158869,10759,13152,365,1004,1004,1118,7013,30,2375,2375,0,0,0,0,0,0,0,3000,0,0,0
2083,Warden of Souls,2018.png,MNTLS0,YXS0,2,2,36,113301001,0,160173,10919,13348,372,1015,1015,1140,7135,30,2425,2425,0,0,0,0,0,0,0,3000,0,0,0
2084,Red snake witch,NPC31.png,NPC31,LB_UR_SH,2,3,36,110702001,0,161450,11081,13547,380,1026,1026,1164,7259,30,2476,2476,0,0,0,0,0,0,0,3000,0,0,0
2085,Geb,2009.png,GB0,WL_SP,2,1,37,112002001,0,162608,14059,17186,387,1037,1037,1188,7385,30,2529,2529,0,0,0,0,0,0,0,3000,0,0,0
2086,Ogre,NPC22.png,NPC22,YXNM1,2,2,37,112901001,0,163925,11414,13953,395,1048,1048,1212,7514,30,2583,2583,0,0,0,0,0,0,0,3000,0,0,0
2087,Remiel,2003.png,LXF2,YD0,2,3,37,112002001,0,165219,11584,14161,403,1060,1060,1236,7645,30,2638,2638,0,0,0,0,0,0,0,3000,0,0,0
2088,Nephthys,2005.png,NFDS0,ZRNZ_YS1,2,1,37,111702001,0,166579,11756,14372,411,1071,1071,1261,7778,30,2694,2694,0,0,0,0,0,0,0,3000,0,0,0
2089,Witch Elf,NPC18.png,NPC18,CE0,2,2,38,112201001,0,167729,11930,14585,419,1083,1083,1287,7913,30,2751,2751,0,0,0,0,0,0,0,3000,0,0,0
2090,Sphinx,2036.png,FTSS0,USER_MAIN_WSJ3,2,3,38,110301001,0,169086,15135,18504,427,1095,1095,1313,8051,30,2809,2809,0,0,0,0,0,0,0,3000,0,0,0
2091,Female Warfare,NPC33.png,NPC33,HFSTS0,2,1,38,100110001,0,170469,12288,15023,436,1107,1107,1340,8191,30,2869,2869,0,0,0,0,0,0,0,3000,0,0,0
2092,Sky Dog,NPC32.png,NPC32,R_UR_PLUS_SH,2,2,38,100203001,0,171823,12471,15246,444,1119,1119,1367,8334,30,2930,2930,0,0,0,0,0,0,0,3000,0,0,0
2093,Fire sacrifice,NPC31.png,NPC31,WN0,2,3,39,112901001,0,173060,12656,15473,453,1131,1131,1395,8479,30,2992,2992,0,0,0,0,0,0,0,3000,0,0,0
2094,Yan,NPC30.png,NPC30,USER_HF,2,1,39,100307001,0,174462,12844,15704,462,1143,1143,1424,8627,30,3056,3056,0,0,0,0,0,0,0,3000,0,0,0
2095,Venomous King,NPC25.png,NPC25,USER_GEJ_SH,2,2,39,111702001,0,175836,16296,19922,471,1156,1156,1452,8777,30,3121,3121,0,0,0,0,0,0,0,3000,0,0,0
2096,Dark Goddess,NPC38.png,NPC38,BMH_HS_SH,2,3,39,113201001,0,177280,13230,16175,480,1168,1168,1482,8930,30,3187,3187,0,0,0,0,0,0,0,3000,0,0,0
2097,Geb,2009.png,GB0,MJL0,2,1,39,112202001,0,178701,13427,16416,490,1181,1181,1512,9086,30,3255,3255,0,0,0,0,0,0,0,3000,0,0,0
2098,Ogre,NPC22.png,NPC22,HFSTS0,2,2,39,100302001,0,180145,13627,16660,500,1194,1194,1544,9244,30,3324,3324,0,0,0,0,0,0,0,3000,0,0,0
2099,Venomous King,NPC25.png,NPC25,YXS0,2,3,40,100110001,0,181427,13830,16908,509,1207,1207,1575,9405,30,3395,3395,0,0,0,0,0,0,0,3000,0,0,0
2100,Nuit,2011.png,NT2,LB_UR_SH,2,2,40,111801001,0,182919,17568,21472,544,1240,1240,1632,9600,40,3500,3500,0,0,0,0,0,0,0,3000,0,0,0
2101,Earthly Giant,NPC22.png,NPC22,WL_SP,2,1,41,112902001,0,185266,14512,17744,561,1272,1272,1684,9690,40,3558,3558,0,0,0,0,0,0,0,3000,0,0,0
2102,Warden of Souls,2035.png,AD0,YXNM1,2,3,41,113301001,0,187845,14972,18311,579,1304,1304,1737,9780,40,3616,3616,0,0,0,0,0,0,0,3000,0,0,0
2103,Venomous King,NPC25.png,NPC25,YD0,2,1,41,112602001,0,190377,15430,18878,596,1336,1336,1790,9870,40,3674,3674,0,0,0,0,0,0,0,3000,0,0,0
2104,Ogre,NPC22.png,NPC22,ZRNZ_YS1,2,2,41,112202001,0,192956,15889,19445,614,1368,1368,1843,9960,40,3732,3732,0,0,0,0,0,0,0,3000,0,0,0
2105,Gabriel,2003.png,LXF0,CE0,2,3,41,112901001,0,195534,20436,25016,632,1400,1400,1896,10050,40,3790,3790,0,0,0,0,0,0,0,3000,0,0,0
2106,Nuit,2011.png,NT2,USER_MAIN_WSJ3,2,1,41,100304001,0,198067,16807,20579,649,1432,1432,1948,10140,40,3848,3848,0,0,0,0,0,0,0,3000,0,0,0
2107,Witch,NPC24.png,NPC24,HFSTS0,2,2,42,112602001,0,200415,17266,21146,667,1464,1464,2001,10230,40,3906,3906,0,0,0,0,0,0,0,3000,0,0,0
2108,Witch Elf,NPC18.png,NPC18,R_UR_PLUS_SH,2,3,42,112202001,0,202993,17724,21713,684,1496,1496,2054,10320,40,3964,3964,0,0,0,0,0,0,0,3000,0,0,0
2109,Fire sacrifice,NPC31.png,NPC31,WN0,2,1,42,112902001,0,205526,18184,22280,702,1528,1528,2107,10410,40,4022,4022,0,0,0,0,0,0,0,3000,0,0,0
2110,Yan,NPC30.png,NPC30,USER_HF,2,2,42,113301001,0,208104,23304,28560,720,1560,1560,2160,10500,40,4080,4080,0,0,0,0,0,0,0,3000,0,0,0
2111,Gabriel,2030.png,WL1,USER_GEJ_SH,2,3,42,112602001,0,210637,19101,23414,737,1592,1592,2212,10590,40,4138,4138,0,0,0,0,0,0,0,3000,0,0,0
2112,Nemesis,2019.png,NMXS0,BMH_HS_SH,2,1,42,112202001,0,213216,19560,23981,755,1624,1624,2265,10680,40,4196,4196,0,0,0,0,0,0,0,3000,0,0,0
2113,Tree Essence,NPC23.png,NPC23,MJL0,2,2,43,112902001,0,215564,20019,24548,772,1656,1656,2318,10770,40,4254,4254,0,0,0,0,0,0,0,3000,0,0,0
2114,Fire sacrifice,NPC31.png,NPC31,HFSTS0,2,3,43,113301001,0,218096,20478,25116,790,1688,1688,2371,10860,40,4312,4312,0,0,0,0,0,0,0,3000,0,0,0
2115,Yan,NPC30.png,NPC30,YXS0,2,1,43,112602001,0,220675,26172,32104,808,1720,1720,2424,10950,40,4370,4370,0,0,0,0,0,0,0,3000,0,0,0
2116,Idun,2015.png,YD0,LB_UR_SH,2,2,43,112202001,0,223208,21396,26249,825,1752,1752,2476,11040,40,4428,4428,0,0,0,0,0,0,0,3000,0,0,0
2117,Belldandy,2022.png,BLDD1,WL_SP,2,3,43,112902001,0,225786,21855,26816,843,1784,1784,2529,11130,40,4486,4486,0,0,0,0,0,0,0,3000,0,0,0
2118,Minotaur,2018.png,MNTLS1,YXNM1,2,1,43,113301001,0,228319,22313,27384,860,1816,1816,2582,11220,40,4544,4544,0,0,0,0,0,0,0,3000,0,0,0
2119,Witch Elf,NPC18.png,NPC18,YD0,2,2,44,112602001,0,230667,22772,27951,878,1848,1848,2635,11310,40,4602,4602,0,0,0,0,0,0,0,3000,0,0,0
2120,Sphinx,2036.png,FTSS0,ZRNZ_YS1,2,3,44,112202001,0,233200,29040,35648,896,1880,1880,2688,11400,40,4660,4660,0,0,0,0,0,0,0,3000,0,0,0
2121,Geb,2009.png,GB0,CE0,2,1,44,112901001,0,235778,23690,29084,913,1912,1912,2740,11490,40,4718,4718,0,0,0,0,0,0,0,3000,0,0,0
2122,Ogre,NPC22.png,NPC22,USER_MAIN_WSJ3,2,2,44,100304001,0,238311,24149,29652,931,1944,1944,2793,11580,40,4776,4776,0,0,0,0,0,0,0,3000,0,0,0
2123,Tianma,NPC35.png,NPC35,HFSTS0,2,3,44,100303001,0,240844,24608,30219,948,1976,1976,2846,11670,40,4834,4834,0,0,0,0,0,0,0,3000,0,0,0
2124,Hell devil,NPC37.png,NPC37,R_UR_PLUS_SH,2,1,44,110401001,0,243422,25067,30786,966,2008,2008,2899,11760,40,4892,4892,0,0,0,0,0,0,0,3000,0,0,0
2125,Earthly Giant,NPC22.png,NPC22,WN0,2,2,45,112902001,0,245725,31908,39192,984,2040,2040,2952,11850,40,4950,4950,0,0,0,0,0,0,0,3000,0,0,0
2126,Medusa,2001.png,MDS0,USER_HF,2,3,45,113301001,0,248258,25984,31920,1001,2072,2072,3004,11940,40,5008,5008,0,0,0,0,0,0,0,3000,0,0,0
2127,Venomous King,NPC25.png,NPC25,USER_GEJ_SH,2,1,45,112602001,0,250836,26444,32487,1019,2104,2104,3057,12030,40,5066,5066,0,0,0,0,0,0,0,3000,0,0,0
2128,Ogre,NPC22.png,NPC22,BMH_HS_SH,2,2,45,112202001,0,253369,26902,33054,1036,2136,2136,3110,12120,40,5124,5124,0,0,0,0,0,0,0,3000,0,0,0
2129,Outraged Medusa,2001.png,MDS2,MJL0,2,3,45,112001001,0,255902,27361,33621,1054,2168,2168,3163,12210,40,5182,5182,0,0,0,0,0,0,0,3000,0,0,0
2130,Minotaur,2018.png,MNTLS1,HFSTS0,2,1,45,110301001,0,258480,34776,42736,1072,2200,2200,3216,12300,40,5240,5240,0,0,0,0,0,0,0,3000,0,0,0
2131,Yan,NPC30.png,NPC30,YXS0,2,2,46,112602001,0,260784,28279,34755,1089,2232,2232,3268,12390,40,5298,5298,0,0,0,0,0,0,0,3000,0,0,0
2132,Idun,2015.png,YD0,LB_UR_SH,2,3,46,112202001,0,263317,28738,35322,1107,2264,2264,3321,12480,40,5356,5356,0,0,0,0,0,0,0,3000,0,0,0
2133,Belldandy,2022.png,BLDD1,WL_SP,2,1,46,112901001,0,265849,29196,35889,1124,2296,2296,3374,12570,40,5414,5414,0,0,0,0,0,0,0,3000,0,0,0
2134,Nebiros,2010.png,NBLS0,YXNM1,2,2,46,100304001,0,268427,29656,36456,1142,2328,2328,3427,12660,40,5472,5472,0,0,0,0,0,0,0,3000,0,0,0
2135,Souless Monster,NPC7.png,NPC7,YD0,2,3,46,113201001,0,270960,37644,46280,1160,2360,2360,3480,12750,40,5530,5530,0,0,0,0,0,0,0,3000,0,0,0
2136,Tianma,NPC35.png,NPC35,ZRNZ_YS1,2,1,46,113201001,0,273493,30573,37590,1177,2392,2392,3532,12840,40,5588,5588,0,0,0,0,0,0,0,3000,0,0,0
2137,Hell Spirit,NPC39.png,NPC39,CE0,2,2,47,100109001,0,275797,31032,38157,1195,2424,2424,3585,12930,40,5646,5646,0,0,0,0,0,0,0,3000,0,0,0
2138,Double Demon,NPC41.png,NPC41,USER_MAIN_WSJ3,2,3,47,112801001,0,278330,31491,38724,1212,2456,2456,3638,13020,40,5704,5704,0,0,0,0,0,0,0,3000,0,0,0
2139,Apep,2029.png,APP1,HFSTS0,2,1,47,112602001,0,280862,31950,39292,1230,2488,2488,3691,13110,40,5762,5762,0,0,0,0,0,0,0,3000,0,0,0
2140,Nemesis,2019.png,NMXS2,R_UR_PLUS_SH,2,2,47,112202001,0,283395,40512,49824,1248,2520,2520,3744,13200,40,5820,5820,0,0,0,0,0,0,0,3000,0,0,0
2141,Gulper,NPC5.png,NPC5,WN0,2,3,47,100204001,0,285973,32868,40425,1265,2552,2552,3796,13290,40,5878,5878,0,0,0,0,0,0,0,3000,0,0,0
2142,Clone of Muse,2020.png,MS0,USER_HF,2,1,47,100201001,0,288506,33327,40992,1283,2584,2584,3849,13380,40,5936,5936,0,0,0,0,0,0,0,3000,0,0,0
2143,Lord of Chaos,NPC44.png,NPC44,USER_GEJ_SH,2,2,48,112602001,0,290765,33785,41560,1300,2616,2616,3902,13470,40,5994,5994,0,0,0,0,0,0,0,3000,0,0,0
2144,Miss Fortune,2025.png,LHFR0,BMH_HS_SH,2,3,48,112202001,0,293298,34244,42127,1318,2648,2648,3955,13560,40,6052,6052,0,0,0,0,0,0,0,3000,0,0,0
2145,Sphinx,2036.png,FTSS0,MJL0,2,1,48,112901001,0,295831,43380,53368,1336,2680,2680,4008,13650,40,6110,6110,0,0,0,0,0,0,0,3000,0,0,0
2146,Skeletal Dragon,NPC40.png,NPC40,HFSTS0,2,2,48,100304001,0,298409,35162,43260,1353,2712,2712,4060,13740,40,6168,6168,0,0,0,0,0,0,0,3000,0,0,0
2147,Kappa Virginis,NPC16.png,NPC16,YXS0,2,3,48,100109001,0,300941,35621,43828,1371,2744,2744,4113,13830,40,6226,6226,0,0,0,0,0,0,0,3000,0,0,0
2148,Destruction banshee,NPC38.png,NPC38,LB_UR_SH,2,1,48,112801001,0,303474,36080,44395,1388,2776,2776,4166,13920,40,6284,6284,0,0,0,0,0,0,0,3000,0,0,0
